variable_name,variable_description,variable_source,form_location,variable_coverage,form_scope,variable_datatype
DUP_RTRN_X,Indicates duplicate return,NA,NA,,PC-501C3,
F9_00_EXEMPT_STAT_501C3_X,Indicates a 501(c)(3) organization,HD,"F990-EZ-PART-00-SECTION-J;
F990-PC-PART-00-SECTION-I",2012-2019,PC-501C3,integer
F9_00_GROUP_EXEMPT_NUM,Group exemption number,HD,"F990-EZ-PART-00-SECTION-F;
F990-PC-PART-00-SECTION-HC",2012-2013,PC-501C3,integer
F9_00_ORG_ADDR_CITY,Address of Filing Organization (US City),HD,"F990-EZ-PART-00-SECTION-C;
F990-PC-PART-00-SECTION-C",2012-2019,PC-501C3,character
F9_00_ORG_ADDR_L1,Address of Filing Organization (US Line 1),HD,"F990-EZ-PART-00-SECTION-C;
F990-PC-PART-00-SECTION-C",2012-2019,PC-501C3,character
F9_00_ORG_ADDR_STATE,Address of Filing Organization (US State),HD,"F990-EZ-PART-00-SECTION-C;
F990-PC-PART-00-SECTION-C",2012-2019,PC-501C3,character
F9_00_ORG_ADDR_ZIP,Address of Filing Organization (US Zip Code),HD,"F990-EZ-PART-00-SECTION-C;
F990-PC-PART-00-SECTION-C",2012-2019,PC-501C3,character
F9_00_ORG_EIN,Orgainization Employer Identification Number (EIN),HD,F990-PC-PART-00-SECTION-D,2012-2022,PC-501C3,character
F9_00_ORG_NAME_DBA_L1,Doing business as (line 1),HD,F990-PC-PART-00-SECTION-C,2012-2019,PC-501C3,character
F9_00_ORG_NAME_L1,Name of Filing Organization (line 1),HD,F990-PC-PART-00-SECTION-C,2012-2019,PC-501C3,character
F9_00_RETURN_TYPE,Return type,HD,F990-PC-PART-00-LINE-00,2012-2013,PC-501C3,integer
F9_00_TAX_PERIOD_BEGIN_DATE,Tax period begin date,HD,F990-PC-PART-00-SECTION-A,2012-2019,PC-501C3,integer
F9_00_TAX_PERIOD_END_DATE,Tax period end date,HD,F990-PC-PART-00-SECTION-A,2012-2022,PC-501C3,integer
F9_00_TAX_YEAR,Tax year,HD,F990-PC-PART-00-SECTION-A,2012-2019,PC-501C3,integer
F9_03_PROG_CODE,Activity2 - Activity code,PC,F990-PC-PART-03-LINE-04-ABCD,2012-2019,PC-501C3,integer
F9_04_AFS_CONSOL_X,Consolidated audited financial statement?,PC,F990-PC-PART-04-LINE-12B,2012-2022,PC-501C3,character
F9_04_AFS_IND_X,Independent audited financial statements?,PC,F990-PC-PART-04-LINE-12A,2012-2022,PC-501C3,character
